Borough,Datetime,Entries,Exits
Bk,2017-02-04,617650.0,417449.0
Bk,2017-02-05,542667.0,405607.0
Bk,2017-02-06,1184916.0,761166.0
Bk,2017-02-07,1192638.0,763653.0
Bk,2017-02-08,1243658.0,788356.0
Bk,2017-02-09,634546.0,458342.0
Bk,2017-02-10,1183652.0,742926.0
Bk,2017-02-11,696640.0,518630.0
Bk,2017-02-12,512749.0,394384.0
Bk,2017-02-13,1146007.0,732010.0
Bk,2017-02-14,1230337.0,777333.0
Bk,2017-02-15,1225280.0,793071.0
Bk,2017-02-16,1202629.0,778043.0
Bk,2017-02-17,1180833.0,758163.0
Bk,2017-02-18,681833.0,494304.0
Bk,2017-02-19,599402.0,444961.0
Bk,2017-02-20,732525.0,506878.0
Bk,2017-02-21,1094193.0,712614.0
Bk,2017-02-22,1110597.0,730056.0
Bk,2017-02-23,1132942.0,748568.0
Bk,2017-02-24,1123677.0,748921.0
Bk,2017-02-25,689531.0,520969.0
Bk,2017-02-26,565304.0,430325.0
Bk,2017-02-27,1160841.0,732337.0
Bk,2017-02-28,1226867.0,792972.0
Bk,2017-03-01,1214680.0,780115.0
Bk,2017-03-02,1228207.0,788214.0
Bk,2017-03-03,1204497.0,774330.0
Bk,2017-03-04,669099.0,498536.0
Bk,2017-03-05,538841.0,407940.0
Bk,2017-03-06,1194760.0,758412.0
Bk,2017-03-07,1215821.0,782230.0
Bk,2017-03-08,1249157.0,806709.0
Bk,2017-03-09,1246771.0,809905.0
Bk,2017-03-10,1159860.0,754411.0
Bk,2017-03-11,674322.0,498455.0
Bk,2017-03-12,536670.0,405197.0
Bk,2017-03-13,1195167.0,756432.0
Bk,2017-03-14,213177.0,190486.0
Bk,2017-03-15,1166804.0,722482.0
Bk,2017-03-16,1269792.0,804335.0
Bk,2017-03-17,1253683.0,808147.0
Bk,2017-03-18,690820.0,515162.0
Bk,2017-03-19,584383.0,436788.0
Bk,2017-03-20,1207340.0,773623.0
Bk,2017-03-21,1239994.0,792903.0
Bk,2017-03-22,1221644.0,776578.0
Bk,2017-03-23,1234938.0,786626.0
Bk,2017-03-24,1204174.0,777427.0
Bk,2017-03-25,715793.0,524703.0
Bk,2017-03-26,564396.0,419815.0
Bk,2017-03-27,1172650.0,750024.0
Bk,2017-03-28,1196678.0,770195.0
Bk,2017-03-29,1243153.0,784266.0
Bk,2017-03-30,1240358.0,792460.0
Bk,2017-03-31,1144707.0,743133.0
Bk,2017-04-01,692815.0,499355.0
Bk,2017-04-02,618668.0,454436.0
Bk,2017-04-03,1215901.0,777637.0
Bk,2017-04-04,1199535.0,765934.0
Bk,2017-04-05,1243951.0,796340.0
Bk,2017-04-06,1179695.0,756241.0
Bk,2017-04-07,1206758.0,779811.0
Bk,2017-04-08,726286.0,541246.0
Bk,2017-04-09,610164.0,469021.0
Bk,2017-04-10,1064600.0,699644.0
Bk,2017-04-11,1082311.0,717385.0
Bk,2017-04-12,1053404.0,702249.0
Bk,2017-04-13,1103478.0,730961.0
Bk,2017-04-14,995360.0,676851.0
Bk,2017-04-15,669159.0,499483.0
Bk,2017-04-16,561845.0,429232.0
Bk,2017-04-17,1002480.0,674526.0
Bk,2017-04-18,1066915.0,708620.0
Bk,2017-04-19,1206598.0,772699.0
Bk,2017-04-20,1216525.0,775637.0
Bk,2017-04-21,1202416.0,783079.0
Bk,2017-04-22,723661.0,529905.0
Bk,2017-04-23,610287.0,454638.0
Bk,2017-04-24,1192373.0,777097.0
Bk,2017-04-25,1186215.0,759720.0
Bk,2017-04-26,1209380.0,764801.0
Bk,2017-04-27,1236138.0,790940.0
Bk,2017-04-28,1215360.0,780347.0
Bk,2017-04-29,766974.0,557196.0
Bk,2017-04-30,599728.0,444408.0
Bk,2017-05-01,1185700.0,757523.0
Bk,2017-05-02,1225530.0,787260.0
Bk,2017-05-03,1237092.0,796750.0
Bk,2017-05-04,1241460.0,796203.0
Bk,2017-05-05,1117652.0,723654.0
Bk,2017-05-06,679726.0,488449.0
Bk,2017-05-07,544983.0,404228.0
Bk,2017-05-08,1189348.0,759543.0
Bk,2017-05-09,1213434.0,797271.0
Bk,2017-05-10,1220525.0,795606.0
Bk,2017-05-11,1232902.0,794764.0
Bk,2017-05-12,1214382.0,797762.0
Bk,2017-05-13,588823.0,439133.0
Bk,2017-05-14,543689.0,404352.0
Bk,2017-05-15,1180862.0,764637.0
Bk,2017-05-16,1220261.0,795354.0
Bk,2017-05-17,1241931.0,808165.0
Bk,2017-05-18,1250973.0,812555.0
Bk,2017-05-19,1228059.0,808824.0
Bk,2017-05-20,751458.0,556602.0
Bk,2017-05-21,605975.0,454732.0
Bk,2017-05-22,1138817.0,746219.0
Bk,2017-05-23,1213481.0,781312.0
Bk,2017-05-24,1221231.0,798035.0
Bk,2017-05-25,1171928.0,766385.0
Bk,2017-05-26,1155585.0,762554.0
Bk,2017-05-27,626844.0,461681.0
Bk,2017-05-28,549197.0,414203.0
Bk,2017-05-29,510169.0,382526.0
Bk,2017-05-30,1154048.0,756504.0
Bk,2017-05-31,1148038.0,747426.0
Bk,2017-06-01,1186490.0,782332.0
Bk,2017-06-02,1202662.0,792652.0
Bk,2017-06-03,729762.0,551298.0
Bk,2017-06-04,580974.0,445161.0
Bk,2017-06-05,1177655.0,772553.0
Bk,2017-06-06,1198082.0,792154.0
Bk,2017-06-07,1227194.0,809261.0
Bk,2017-06-08,1176909.0,787007.0
Bk,2017-06-09,1206319.0,806756.0
Bk,2017-06-10,738077.0,542171.0
Bk,2017-06-11,633309.0,475302.0
Bk,2017-06-12,1164752.0,774077.0
Bk,2017-06-13,1179300.0,782945.0
Bk,2017-06-14,1188288.0,784967.0
Bk,2017-06-15,1203981.0,801061.0
Bk,2017-06-16,1154518.0,772067.0
Bk,2017-06-17,662877.0,495353.0
Bk,2017-06-18,571777.0,440354.0
Bk,2017-06-19,1102830.0,743033.0
Bk,2017-06-20,1171999.0,767270.0
Bk,2017-06-21,1173516.0,786419.0
Bk,2017-06-22,1180650.0,795099.0
Bk,2017-06-23,1121079.0,756139.0
Bk,2017-06-24,704985.0,522805.0
Bk,2017-06-25,659804.0,491113.0
Bk,2017-06-26,1088634.0,743982.0
Bk,2017-06-27,1150411.0,774733.0
Bk,2017-06-28,1181514.0,798998.0
Bk,2017-06-29,1128988.0,757667.0
Bk,2017-06-30,1093393.0,743603.0
Bk,2017-07-01,629400.0,469220.0
Bk,2017-07-02,561956.0,425255.0
Bk,2017-07-03,882033.0,623811.0
Bk,2017-07-04,615349.0,474928.0
Bk,2017-07-05,1097536.0,760101.0
Bk,2017-07-06,1091354.0,736108.0
Bk,2017-07-07,1046854.0,706604.0
Bk,2017-07-08,688704.0,514435.0
Bk,2017-07-09,601642.0,458544.0
Bk,2017-07-10,1096194.0,744618.0
Bk,2017-07-11,1102223.0,747456.0
Bk,2017-07-12,1122110.0,761303.0
Bk,2017-07-13,1113552.0,754041.0
Bk,2017-07-14,1046789.0,707802.0
Bk,2017-07-15,705176.0,517351.0
Bk,2017-07-16,610278.0,460712.0
Bk,2017-07-17,1091947.0,739049.0
Bk,2017-07-18,1119346.0,752962.0
Bk,2017-07-19,1120683.0,759648.0
Bk,2017-07-20,1125789.0,762826.0
Bk,2017-07-21,1086205.0,731499.0
Bk,2017-07-22,694728.0,516917.0
Bk,2017-07-23,561896.0,431937.0
Bk,2017-07-24,1029261.0,700426.0
Bk,2017-07-25,1097105.0,736500.0
Bk,2017-07-26,1127218.0,757783.0
Bk,2017-07-27,1117326.0,751392.0
Bk,2017-07-28,1087030.0,732353.0
Bk,2017-07-29,666485.0,495956.0
Bk,2017-07-30,598051.0,447836.0
Bk,2017-07-31,1066707.0,720232.0
Bk,2017-08-01,1094013.0,736519.0
Bk,2017-08-02,1099285.0,748541.0
Bk,2017-08-03,1118390.0,744413.0
Bk,2017-08-04,1068311.0,720704.0
Bk,2017-08-05,678090.0,507122.0
Bk,2017-08-06,591341.0,448740.0
Bk,2017-08-07,993018.0,675747.0
Bk,2017-08-08,1086541.0,722778.0
Bk,2017-08-09,1114808.0,744463.0
Bk,2017-08-10,1105006.0,738631.0
Bk,2017-08-11,1068599.0,722199.0
Bk,2017-08-12,660287.0,492637.0
Bk,2017-08-13,585406.0,446230.0
Bk,2017-08-14,1034863.0,706939.0
Bk,2017-08-15,1037743.0,701149.0
Bk,2017-08-16,1090138.0,742743.0
Bk,2017-08-17,1086480.0,733172.0
Bk,2017-08-18,989355.0,674180.0
Bk,2017-08-19,682603.0,499693.0
Bk,2017-08-20,590126.0,446284.0
Bk,2017-08-21,996748.0,685091.0
Bk,2017-08-22,1036700.0,706098.0
Bk,2017-08-23,1043238.0,708556.0
Bk,2017-08-24,1058498.0,716138.0
Bk,2017-08-25,1046807.0,711370.0
Bk,2017-08-26,676103.0,506212.0
Bk,2017-08-27,567117.0,430337.0
Bk,2017-08-28,1044653.0,702200.0
Bk,2017-08-29,1032628.0,700882.0
Bk,2017-08-30,1079969.0,725533.0
