creation_date,pandas,matplotlib,numpy,seaborn,geopandas,geoviews,altair,yellowbrick,vega,holoviews,hvplot,bokeh
2008-09-08,0,0,1,0,0,0,0,0,0,0,0,0
2008-09-09,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-10,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-11,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-12,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-13,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-14,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-15,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-16,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-17,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-18,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-19,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-20,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-21,0,0,1,0,0,0,0,0,0,0,0,0
2008-09-22,0,1,0,0,0,0,0,0,0,0,0,0
2008-09-23,0,1,1,0,0,0,0,0,0,0,0,0
2008-09-24,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-25,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-26,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-27,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-28,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-29,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-30,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-01,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-02,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-03,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-04,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-05,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-06,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-07,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-08,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-09,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-10,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-11,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-12,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-13,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-14,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-15,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-16,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-17,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-18,0,0,1,0,0,0,0,0,0,0,0,0
2008-10-19,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-20,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-21,0,0,1,0,0,0,0,0,0,0,0,0
2008-10-22,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-23,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-24,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-25,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-26,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-27,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-28,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-29,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-30,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-31,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-01,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-02,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-03,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-04,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-05,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-06,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-07,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-08,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-09,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-10,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-11,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-12,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-13,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-14,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-15,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-16,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-17,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-18,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-19,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-20,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-21,0,0,1,0,0,0,0,0,0,0,0,0
2008-11-22,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-23,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-24,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-25,0,0,2,0,0,0,0,0,0,0,0,0
2008-11-26,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-27,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-28,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-29,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-30,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-01,0,1,0,0,0,0,0,0,0,0,0,0
2008-12-02,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-03,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-04,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-05,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-06,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-07,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-08,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-09,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-10,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-11,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-12,0,0,1,0,0,0,0,0,0,0,0,0
2008-12-13,0,0,1,0,0,0,0,0,0,0,0,0
2008-12-14,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-15,0,0,1,0,0,0,0,0,0,0,0,0
2008-12-16,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-17,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-18,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-19,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-20,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-21,0,0,1,0,0,0,0,0,0,0,0,0
2008-12-22,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-23,0,0,0,0,0,0,0,0,0,0,0,0
